BRIX ,lbs/gal,# SOLIDS/GAL,kg/gal,# solid per Metric Ton,Total Gallons per metric Ton
47.1,10.12,4.7668,4.59,1038.4,217.8
47.2,10.125,4.7791,4.593,1040.6,217.7
47.3,10.129,4.7913,4.594,1042.8,217.7
47.4,10.134,4.8036,4.597,1045,217.5
47.5,10.139,4.8159,4.599,1047.2,217.4
47.6,10.143,4.8282,4.601,1049.4,217.4
47.7,10.148,4.8404,4.603,1051.6,217.2
47.8,10.152,4.8527,4.605,1053.8,217.2
47.9,10.157,4.865,4.607,1056,217.1
48,10.161,4.877,4.609,1058.1,217
48.1,10.165,4.8897,4.611,1060.5,216.9
48.2,10.17,4.9021,4.613,1062.7,216.8
48.3,10.174,4.9145,4.615,1064.9,216.7
48.4,10.179,4.9269,4.617,1067.1,216.6
48.5,10.184,4.9394,4.619,1069.3,216.5
48.6,10.189,4.9518,4.622,1071.4,216.4
48.7,10.194,4.9642,4.624,1073.6,216.3
48.8,10.198,4.9766,4.626,1075.8,216.2
48.9,10.203,4.989,4.628,1078,216.1
49,10.207,5.001,4.63,1080.2,216
49.1,10.211,5.0138,4.632,1082.5,215.9
49.2,10.216,5.0263,4.634,1084.7,215.8
49.3,10.22,5.0388,4.636,1086.9,215.7
49.4,10.225,5.0513,4.638,1089.1,215.6
49.5,10.23,5.0638,4.64,1091.3,215.5
49.6,10.234,5.0762,4.642,1093.5,215.4
49.7,10.239,5.0886,4.644,1095.6,215.3
49.8,10.243,5.1011,4.646,1097.9,215.2
49.9,10.248,5.1135,4.648,1100,215.1
50,10.252,5.126,4.65,1102.3,215
50.1,10.256,5.1386,4.652,1104.6,215
50.2,10.261,5.1513,4.654,1106.8,214.9
50.3,10.266,5.164,4.657,1109,214.7
50.4,10.271,5.1766,4.659,1111.1,214.6
50.5,10.276,5.1893,4.661,1113.3,214.5
50.6,10.28,5.2018,4.663,1115.6,214.5
50.7,10.285,5.2145,4.665,1117.7,214.4
50.8,10.29,5.2272,4.668,1119.9,214.2
50.9,10.295,5.2398,4.67,1122.1,214.1
51,10.299,5.252,4.672,1124.2,214.1
51.1,10.303,5.2651,4.673,1126.6,214
51.2,10.308,5.2777,4.676,1128.8,213.9
51.3,10.312,5.2903,4.677,1131,213.8
51.4,10.317,5.303,4.68,1133.2,213.7
51.5,10.322,5.3158,4.682,1135.4,213.6
51.6,10.327,5.3287,4.684,1137.6,213.5
51.7,10.332,5.3416,4.687,1139.8,213.4
51.8,10.336,5.354,4.688,1142,213.3
51.9,10.341,5.367,4.691,1144.2,213.2
52,10.345,5.379,4.692,1146.3,213.1
52.1,10.349,5.3922,4.694,1148.7,213
52.2,10.354,5.4051,4.697,1150.9,212.9
52.3,10.359,5.4179,4.699,1153,212.8
52.4,10.364,5.4307,4.701,1155.2,212.7
52.5,10.368,5.4436,4.703,1157.5,212.6
52.6,10.373,5.4564,4.705,1159.7,212.5
52.7,10.378,5.4692,4.707,1161.8,212.4
52.8,10.383,5.4822,4.71,1164,212.3
52.9,10.388,5.4949,4.712,1166.2,212.2
53,10.392,5.508,4.714,1168.5,212.1
53.1,10.396,5.5203,4.716,1170.6,212.1
53.2,10.401,5.5333,4.718,1172.8,212
53.3,10.406,5.5464,4.72,1175.1,211.9
53.4,10.411,5.5595,4.722,1177.3,211.8
53.5,10.416,5.5724,4.725,1179.4,211.7
53.6,10.42,5.5853,4.726,1181.7,211.6
53.7,10.425,5.5982,4.729,1183.9,211.5
53.8,10.43,5.6113,4.731,1186.1,211.4
53.9,10.435,5.6242,4.733,1188.2,211.3
54,10.439,5.637,4.735,1190.5,211.2
54.1,10.443,5.6501,4.737,1192.8,211.1
54.2,10.448,5.6631,4.739,1195,211
54.3,10.453,5.676,4.741,1197.1,210.9
54.4,10.458,5.692,4.744,1199.9,210.8
54.5,10.463,5.7022,4.746,1201.5,210.7
54.6,10.467,5.7152,4.748,1203.8,210.6
54.7,10.472,5.7282,4.75,1205.9,210.5
54.8,10.477,5.7414,4.752,1208.1,210.4
54.9,10.482,5.7546,4.755,1210.3,210.3
